Company_Name,DIVISION,Item_Code,Item_Name,Packing,Expiry,BatchNo,SaleRate,MRP,SaleScm1,SaleScm2,BATCHQTY,GSTPER,Item_Date,Date,Time
,00,,,,,,0,0,0,0,0,0.00,30-Aug-2014,11-Aug-2021,11:30:03
ALEMBIC,A10,111,"BRO ZEET(NEW ) SYRUP",100ML,04/23,2108000599,72.64,101.7,9,1,167,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A5,11101,"OSTEOFIT - C CAP",10`S,08/22,BJ1090002,137.78,192.9,0,0,6,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A10,1116,"ALTHROCIN - 250",10`S,05/23,2108000865,33.71,47.2,0,0,125,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A10,1117,"ALTHROCIN - 500",10`S,05/23,2108000793,65.71,92,0,0,51,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A10,1118,"ALTHROCIN  DROP",10ML,03/23,2108000454,30.36,42.5,0,0,3,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A10,1119,"ALTHROCIN   SYP.",60ML,06/23,2108000752,38.71,54.2,0,0,107,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A4,1140,"EPHEDREX SYP.",100ML,12/23,2108000035,69.22,96.9,11,1,34,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A4,115,"AZITHRAL - 250 *",10`S,03/23,2108000514,84.61,118.45,0,0,1106,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A7,1150,"GLYCODIN SYP. 100 ML",100ML,10/19,1608001150,64.39,83.65,5,1,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A7,1152,"HERMIN INJ",200ML,10/22,EK0734068,464.23,609.3,4,1,0,5.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A7,1153,"HERMIN FORT CAPS",10`S,11/22,BL0L048005,78,109.2,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A14,1156,"MAGADOL TAB",10`S,03/24,2108000506,42.93,60.1,9,1,149,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A14,1157,"MAGADOL SYRUP",60ML,06/23,2008001012,27.9,39.07,10,1,74,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A4,116,"AZITHRAL - 200 LIQ *",15ML,04/23,2108000597,36.92,51.69,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A7,1167,"PROTINULES CHOCLATE",200GM,07/22,BO1356008,280,413,9,1,5,18.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A4,117,"AZITHRAL -100 LIQ",15ML,05/23,2108000860,30.22,42.3,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A1,1170,"ROXID LIQUID",30ML,07/20,1808001130,58.86,82.4,0,0,0,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A1,1171,"ROXID- 150",10`S,11/23,2108000765,125.93,176.3,0,0,55,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A1,1172,"ROXID KID TAB",10`S,05/23,2008001540,52.14,73,0,0,12,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A1,1176,SHARKOFERROL,450GM,05/23,AN1572031,226.07,316.5,0,0,35,12.00,30-Jun-2011,11-Aug-2021,11:30:03
ALEMBIC,A10,118,"NIMEGESIC TAB",10`S,03/23,AB0002001,43,60.2,0,0,15,12.00,30-Jun-2011,11-Aug-2021,11:30:03
